;scopusID;eID;title;creator;date;pubName;volume;pageNum;citationID;Author
2426;SCOPUS_ID:84871809302;2-s2.0-84871809302;STAR: Ultrafast universal RNA-seq aligner;Dobin A.;01.01.2013;Bioinformatics;29;6;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871809302&origin=inward;"Dobin A.:56387265000;Davis C.A.:55328718600;Schlesinger F.:47761353700;Drenkow J.:6603366956;Zaleski C.:55350289800;Jha S.:55177242600;Batut P.:54882365400;Chaisson M.:6603361155;Gingeras T.R.:7003527869"
2427;SCOPUS_ID:84876266928;2-s2.0-84876266928;QUAST: Quality assessment tool for genome assemblies;Gurevich A.;4.15.13;Bioinformatics;29;3;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876266928&origin=inward;"Gurevich A.:55211879300;Saveliev V.:55652168500;Vyahhi N.:25032155800;Tesler G.:6603604310"
2428;SCOPUS_ID:84874011652;2-s2.0-84874011652;Genome sequence-based species delimitation with confidence intervals and improved distance functions;Meier-Kolthoff J.;2.21.13;BMC Bioinformatics;14;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874011652&origin=inward;"Meier-Kolthoff J.P.:16309872500;Auch A.F.:8632588200;Klenk H.-P.:55145833600;Goker M.:6602789910"
2429;SCOPUS_ID:84876100615;2-s2.0-84876100615;Enrichr: Interactive and collaborative HTML5 gene list enrichment analysis tool;Chen E.;4.15.13;BMC Bioinformatics;14;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876100615&origin=inward;"Chen E.Y.:54879794800;Tan C.M.:55674675800;Kou Y.:55650461800;Duan Q.:55649979400;Wang Z.:55650724200;Meirelles G.V.:23098391400;Clark N.R.:52663215100;Ma'ayan A.:8582387100"
2430;SCOPUS_ID:84883368195;2-s2.0-84883368195;Software for Computing and Annotating Genomic Ranges;Lawrence M.;08.01.2013;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883368195&origin=inward;"Lawrence M.:55861159400;Huber W.:56941421600;Pages H.:35337546300;Aboyoun P.:35336116900;Carlson M.:7201686492;Gentleman R.:57202732201;Morgan M.T.:35337580000;Carey V.J.:7006779984"
2431;SCOPUS_ID:84890044025;2-s2.0-84890044025;A general species delimitation method with applications to phylogenetic placements;Zhang J.;11.15.13;Bioinformatics;29;7;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890044025&origin=inward;"Zhang J.:55388981100;Kapli P.:24537586400;Pavlidis P.:24537512800;Stamatakis A.:6602125055"
2432;SCOPUS_ID:84872341489;2-s2.0-84872341489;Cuckoo search algorithm: A metaheuristic approach to solve structural optimization problems;Gandomi A.;01.01.2013;Engineering with Computers;29;18;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872341489&origin=inward;"Gandomi A.H.:26421192100;Yang X.-S.:35754063200;Alavi A.H.:33867483600"
2433;SCOPUS_ID:84876988608;2-s2.0-84876988608;A survey on optimization metaheuristics;Boussaïd I.;07.10.2013;Information Sciences;237;35;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876988608&origin=inward;"Boussaid I.:40461076600;Lepagnot J.:35773578800;Siarry P.:7003760115"
2434;SCOPUS_ID:84872564830;2-s2.0-84872564830;A beta-mixture quantile normalization method for correcting probe design bias in Illumina Infinium 450 k DNA methylation data;Teschendorff A.;1.15.13;Bioinformatics;29;7;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872564830&origin=inward;"Teschendorff A.E.:8528968400;Marabita F.:53865037400;Lechner M.:8550217700;Bartlett T.:55560405000;Tegner J.:7004724921;Gomez-Cabrero D.:24779430500;Beck S.:57193033325"
2435;SCOPUS_ID:84889888048;2-s2.0-84889888048;A comprehensive review of firefly algorithms;Fister I.;12.01.2013;Swarm and Evolutionary Computation;13;12;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889888048&origin=inward;"Fister Jr. I.:55545862632;Yang X.-S.:35754063200;Brest J.:6602865345"
2436;SCOPUS_ID:84942114552;2-s2.0-84942114552;Particle swarm optimization with Gaussian mutation;Higashi N.;01.01.2013;2003 IEEE Swarm Intelligence Symposium, SIS 2003 - Proceedings;unknown;7;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84942114552&origin=inward;"Higashi N.:56865576200;Iba H.:7005763929"
2437;SCOPUS_ID:84883447718;2-s2.0-84883447718;An insight into classification with imbalanced data: Empirical results and current trends on using data intrinsic characteristics;López V.;11.20.13;Information Sciences;250;28;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883447718&origin=inward;"Lopez V.:7404123792;Fernandez A.:55071729400;Garcia S.:37103985200;Palade V.:6701857025;Herrera F.:7102347190"
2438;SCOPUS_ID:84876263777;2-s2.0-84876263777;EBSeq: An empirical Bayes hierarchical model for inference in RNA-seq experiments;Leng N.;4.15.13;Bioinformatics;29;8;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876263777&origin=inward;"Leng N.:55809231200;Dawson J.A.:7403192293;Thomson J.A.:7402682692;Ruotti V.:6507351832;Rissman A.I.:23478075300;Smits B.M.G.:8131402900;Haag J.D.:7006788900;Gould M.N.:7202791872;Stewart R.M.:35749316200;Kendziorski C.:6603010164"
2439;SCOPUS_ID:84880120844;2-s2.0-84880120844;Exploration and exploitation in evolutionary algorithms: A survey;Crepinsek M.;06.01.2013;ACM Computing Surveys;45;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880120844&origin=inward;"Crepinsek M.:6507371981;Liu S.-H.:36484928400;Mernik M.:6701780016"
2440;SCOPUS_ID:84874677498;2-s2.0-84874677498;A comparison of methods for differential expression analysis of RNA-seq data;Soneson C.;03.09.2013;BMC Bioinformatics;14;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874677498&origin=inward;"Soneson C.:34977778300;Delorenzi M.:57205896306"
2441;SCOPUS_ID:84882287077;2-s2.0-84882287077;A sparse-group lasso;Simon N.;12.17.13;Journal of Computational and Graphical Statistics;22;14;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84882287077&origin=inward;"Simon N.:36802528700;Friedman J.:7401866412;Hastie T.:7004744483;Tibshirani R.:7005432426"
2442;SCOPUS_ID:84885626275;2-s2.0-84885626275;Assembling single-cell genomes and mini-metagenomes from chimeric MDA products;Nurk S.;10.01.2013;Journal of Computational Biology;20;23;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885626275&origin=inward;"Nurk S.:55210892300;Bankevich A.:55210892500;Antipov D.:55210749600;Gurevich A.A.:55211879300;Korobeynikov A.:24076450500;Lapidus A.:35248496000;Prjibelski A.D.:55210891100;Pyshkin A.:55211284300;Sirotkin A.:55211091400;Sirotkin Y.:55253386000;Stepanauskas R.:55849846400;Clingenpeel S.R.:6508284933;Woyke T.:6602417287;McLean J.S.:9635459500;Lasken R.:6602699291;Tesler G.:6603604310;Alekseyev M.A.:8655043000;Pevzner P.A.:7006158805"
2443;SCOPUS_ID:84862515399;2-s2.0-84862515399;Handbook of meta-analysis in ecology and evolution;Koricheva J.;4.21.13;Handbook of Meta-analysis in Ecology and Evolution;unknown;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862515399&origin=inward;"Koricheva J.:6603965312;Gurevitch J.:7004260642;Mengersen K.:6603793565"
2444;SCOPUS_ID:84872202078;2-s2.0-84872202078;GSVA: Gene set variation analysis for microarray and RNA-Seq data;Hänzelmann S.;1.16.13;BMC Bioinformatics;14;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872202078&origin=inward;"Hanzelmann S.:55534229100;Castelo R.:6601957393;Guinney J.:14324594600"
2445;SCOPUS_ID:84870058393;2-s2.0-84870058393;Black hole: A new heuristic optimization approach for data clustering;Hatamlou A.;02.10.2013;Information Sciences;222;9;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870058393&origin=inward;Hatamlou A.:26654252900
2446;SCOPUS_ID:84880199410;2-s2.0-84880199410;Pathview: An R/Bioconductor package for pathway-based data integration and visualization;Luo W.;7.15.13;Bioinformatics;29;1;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880199410&origin=inward;"Luo W.:15051874900;Brouwer C.:7003714373"
2447;SCOPUS_ID:84885030988;2-s2.0-84885030988;A block coordinate descent method for regularized multiconvex optimization with applications to nonnegative tensor factorization and completion;Xu Y.;10.10.2013;SIAM Journal on Imaging Sciences;6;31;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885030988&origin=inward;"Xu Y.:55262076400;Yin W.:8729349300"
2448;SCOPUS_ID:84874741556;2-s2.0-84874741556;CluePedia Cytoscape plugin: Pathway insights using integrated experimental and in silico data;Bindea G.;03.01.2013;Bioinformatics;29;2;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874741556&origin=inward;"Bindea G.:16302872200;Galon J.:6701558939;Mlecnik B.:8714935100"
2449;SCOPUS_ID:84875528853;2-s2.0-84875528853;A grid-based evolutionary algorithm for many-objective optimization;Yang S.;10.14.13;IEEE Transactions on Evolutionary Computation;17;15;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875528853&origin=inward;"Yang S.:57205311873;Li M.:24401307300;Liu X.:35290922200;Zheng J.:8833923400"
2450;SCOPUS_ID:84873510063;2-s2.0-84873510063;A Guide to Enterotypes across the Human Body: Meta-Analysis of Microbial Community Structures in Human Microbiome Datasets;Koren O.;01.01.2013;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873510063&origin=inward;"Koren O.:6507884856;Knights D.:35181437000;Gonzalez A.:57189506114;Waldron L.:8539323900;Segata N.:14016713700;Knight R.:57202526539;Huttenhower C.:14521138100;Ley R.E.:57193891727"
2451;SCOPUS_ID:84887947383;2-s2.0-84887947383;Overview of the SpiNNaker system architecture;Furber S.;11.25.13;IEEE Transactions on Computers;62;13;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887947383&origin=inward;"Furber S.B.:7004528676;Lester D.R.:36041819500;Plana L.A.:6603420230;Garside J.D.:7006197275;Painkras E.:15926209000;Temple S.:7004577211;Brown A.D.:7408341995"
2452;SCOPUS_ID:84872521100;2-s2.0-84872521100;Improved contact prediction in proteins: Using pseudolikelihoods to infer Potts models;Ekeberg M.;01.11.2013;Physical Review E - Statistical, Nonlinear, and Soft Matter Physics;87;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872521100&origin=inward;"Ekeberg M.:55063537900;Lovkvist C.:55561685300;Lan Y.:14822337100;Weigt M.:57200771646;Aurell E.:55884846500"
2453;SCOPUS_ID:26244462984;2-s2.0-26244462984;Photoreceptor sectral sensitivities in terrestrial animals: Adaptations for luminance and colour vision;Osorio D.;01.08.2013;Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences;470;7;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=26244462984&origin=inward;"Osorio D.:7006660497;Vorobyev M.:6701750749"
2454;SCOPUS_ID:84887264733;2-s2.0-84887264733;Ten Simple Rules for Reproducible Computational Research;Sandve G.;10.01.2013;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887264733&origin=inward;"Sandve G.K.:14021897700;Nekrutenko A.:6603861817;Taylor J.:57203426928;Hovig E.:7004194119"
2455;SCOPUS_ID:84879002382;2-s2.0-84879002382;Basic and applied uses of genome-scale metabolic network reconstructions of Escherichia coli;McCloskey D.;01.01.2013;Molecular Systems Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879002382&origin=inward;"McCloskey D.:55813685200;Palsson B.O.:8108272000;Feist A.M.:14024113300"
2456;SCOPUS_ID:84874246696;2-s2.0-84874246696;The product of C9orf72, a gene strongly implicated in neurodegeneration, is structurally related to DENN Rab-GEFs;Levine T.;2.15.13;Bioinformatics;29;4;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874246696&origin=inward;"Levine T.P.:7102551297;Daniels R.D.:50261209000;Gatta A.T.:55605873000;Wong L.H.:55606531200;Hayes M.J.:7402679347"
2457;SCOPUS_ID:84875973063;2-s2.0-84875973063;The RAVEN Toolbox and Its Use for Generating a Genome-scale Metabolic Model for Penicillium chrysogenum;Agren R.;4.15.13;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875973063&origin=inward;"Agren R.:35955449800;Liu L.:55715438300;Shoaie S.:55157517200;Vongsangnak W.:24068171600;Nookaew I.:36110114300;Nielsen J.:55572933700"
2458;SCOPUS_ID:84870236403;2-s2.0-84870236403;Multi-objective optimization of heat exchangers using a modified teaching-learning-based optimization algorithm;Rao R.;02.01.2013;Applied Mathematical Modelling;37;15;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870236403&origin=inward;"Rao R.V.:12764013600;Patel V.:35811048700"
2459;SCOPUS_ID:84892949294;2-s2.0-84892949294;A literature survey of low-rank tensor approximation techniques;Grasedyck L.;01.01.2013;GAMM Mitteilungen;36;25;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892949294&origin=inward;"Grasedyck L.:6602220267;Kressner D.:6506232120;Tobler C.:36195275200"
2460;SCOPUS_ID:84878851503;2-s2.0-84878851503;Assembling the 20 Gb white spruce (Picea glauca) genome from whole-genome shotgun sequencing data;Birol I.;6.15.13;Bioinformatics;29;5;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878851503&origin=inward;"Birol I.:35298470000;Raymond A.:36653273900;Jackman S.D.:26641192900;Pleasance S.:56754327700;Coope R.:36945315700;Taylor G.A.:55574204141;Yuen M.M.S.:36485671100;Keeling C.I.:7006501010;Brand D.:55760976700;Vandervalk B.P.:57188707463;Kirk H.:55761790000;Pandoh P.:6602629764;Moore R.A.:56300410500;Zhao Y.:35301297800;Mungall A.J.:7004571024;Jaquish B.:6603133038;Yanchuk A.:6701853236;Ritland C.:6603633796;Boyle B.:7102586072;Bousquet J.:36062195300;Ritland K.:7006744699;MacKay J.:7201377700;Bohlmann J.:7006410064;Jones S.J.M.:55732380600"
2461;SCOPUS_ID:84886557480;2-s2.0-84886557480;Finding consistent patterns: A nonparametric approach for identifying differential expression in RNA-Seq data;Li J.;10.01.2013;Statistical Methods in Medical Research;22;17;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886557480&origin=inward;"Li J.:55355139200;Tibshirani R.:7005432426"
2462;SCOPUS_ID:84874726726;2-s2.0-84874726726;MiRCancer: A microRNA-cancer association database constructed by text mining on literature;Xie B.;03.01.2013;Bioinformatics;29;6;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874726726&origin=inward;"Xie B.:55334418900;Ding Q.:7102341423;Han H.:48861339200;Wu D.:55574207425"
2463;SCOPUS_ID:84881152495;2-s2.0-84881152495;COBRApy: COnstraints-Based Reconstruction and Analysis for Python;Ebrahim A.;08.08.2013;BMC Systems Biology;7;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84881152495&origin=inward;"Ebrahim A.:7004367001;Lerman J.A.:35862758000;Palsson B.O.:8108272000;Hyduke D.R.:7801381063"
2464;SCOPUS_ID:84873800970;2-s2.0-84873800970;Genome-scale engineering for systems and synthetic biology;Esvelt K.;01.01.2013;Molecular Systems Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873800970&origin=inward;"Esvelt K.M.:37861218600;Wang H.H.:34870998300"
2465;SCOPUS_ID:84886811866;2-s2.0-84886811866;Computational tools for copy number variation (CNV) detection using next-generation sequencing data: Features and perspectives;Zhao M.;9.13.13;BMC Bioinformatics;14;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886811866&origin=inward;"Zhao M.:56603480000;Wang Q.:55698152200;Wang Q.:57188732177;Jia P.:14030192100;Zhao Z.:7404147874"
2466;SCOPUS_ID:84875998970;2-s2.0-84875998970;Chaste: An Open Source C++ Library for Computational Physiology and Biology;Mirams G.;4.15.13;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875998970&origin=inward;"Mirams G.R.:26428367200;Arthurs C.J.:55012360900;Bernabeu M.O.:14053541200;Bordas R.:26647464300;Cooper J.:55243567700;Corrias A.:22733394800;Davit Y.:36105048900;Dunn S.-J.:54895750800;Fletcher A.G.:26767716900;Harvey D.G.:55936335400;Marsh M.E.:55345314200;Osborne J.M.:26768162200;Pathmanathan P.:24484191400;Pitt-Francis J.:6506773089;Southern J.:24172076500;Zemzemi N.:25423228600;Gavaghan D.J.:26643590100"
2467;SCOPUS_ID:84885367114;2-s2.0-84885367114;Genome-scale models of metabolism and gene expression extend and refine growth phenotype prediction;O'Brien E.;01.01.2013;Molecular Systems Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885367114&origin=inward;"O'Brien E.J.:55850484300;Lerman J.A.:35862758000;Chang R.L.:15836545400;Hyduke D.R.:7801381063;Palsson B.O.:8108272000"
2468;SCOPUS_ID:84873748725;2-s2.0-84873748725;PGD-Based Computational Vademecum for Efficient Design, Optimization and Control;Chinesta F.;02.11.2013;Archives of Computational Methods in Engineering;20;28;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873748725&origin=inward;"Chinesta F.:6701893134;Leygue A.:8598010700;Bordeu F.:37085096900;Aguado J.V.:55580444000;Cueto E.:6603952301;Gonzalez D.:56486916500;Alfaro I.:8116947000;Ammar A.:35578884600;Huerta A.:7004611283"
2469;SCOPUS_ID:84892708007;2-s2.0-84892708007;Ecological Modeling from Time-Series Inference: Insight into Dynamics and Stability of Intestinal Microbiota;Stein R.;12.01.2013;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892708007&origin=inward;"Stein R.R.:56010751900;Bucci V.:25225229800;Toussaint N.C.:57198260959;Buffie C.G.:54992763200;Ratsch G.:6603370159;Pamer E.G.:7006263972;Sander C.:55146122100;Xavier J.B.:55220759500"
2470;SCOPUS_ID:84881566884;2-s2.0-84881566884;Large covariance estimation by thresholding principal orthogonal complements;Fan J.;09.01.2013;Journal of the Royal Statistical Society. Series B: Statistical Methodology;75;77;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84881566884&origin=inward;"Fan J.:7402794720;Liao Y.:55213718700;Mincheva M.:55822865500"
2471;SCOPUS_ID:84881548286;2-s2.0-84881548286;Computational meta'omics for microbial community studies;Segata N.;01.01.2013;Molecular Systems Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84881548286&origin=inward;"Segata N.:14016713700;Boernigen D.:55856088000;Tickle T.L.:21835163000;Morgan X.C.:8220519500;Garrett W.S.:7102162233;Huttenhower C.:14521138100"
2472;SCOPUS_ID:84880211540;2-s2.0-84880211540;TANGO: A generic tool for high-throughput 3D image analysis for studying nuclear organization;Ollion J.;7.15.13;Bioinformatics;29;1;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880211540&origin=inward;"Ollion J.:55795271000;Cochennec J.:55794698300;Loll F.:36446349400;Escude C.:6602753839;Boudier T.:55985714800"
2473;SCOPUS_ID:84885644151;2-s2.0-84885644151;Novel human lncRNA-disease association inference based on lncRNA expression profiles;Chen X.;10.15.13;Bioinformatics;29;7;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885644151&origin=inward;"Chen X.:57191252607;Yan G.-Y.:7202089799"
2474;SCOPUS_ID:84874105145;2-s2.0-84874105145;Opcode sequences as representation of executables for data-mining-based unknown malware detection;Santos I.;05.10.2013;Information Sciences;231;18;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874105145&origin=inward;"Santos I.:35146775800;Brezo F.:35748593900;Ugarte-Pedrero X.:39462239400;Bringas P.G.:35316900500"
2475;SCOPUS_ID:84870063097;2-s2.0-84870063097;Incomplete decision contexts: Approximate concept construction, rule acquisition and knowledge reduction;Li J.;01.01.2013;International Journal of Approximate Reasoning;54;16;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870063097&origin=inward;"Li J.:55871122467;Mei C.:55725518800;Lv Y.:23389558700"
2476;SCOPUS_ID:84880851838;2-s2.0-84880851838;Predicting Network Activity from High Throughput Metabolomics;Li S.;07.01.2013;PLoS Computational Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880851838&origin=inward;"Li S.:54398117000;Park Y.:55947977200;Duraisingham S.:6504656383;Strobel F.H.:6603815706;Khan N.:12243816500;Soltow Q.A.:12771989300;Jones D.P.:7406579457;Pulendran B.:7003298475"
2477;SCOPUS_ID:84873801934;2-s2.0-84873801934;High-throughput sequencing for biology and medicine;Soon W.;01.01.2013;Molecular Systems Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873801934&origin=inward;"Soon W.W.:54586019500;Hariharan M.:26221242200;Snyder M.P.:57202452790"
2478;SCOPUS_ID:84902031172;2-s2.0-84902031172;Evolution and functional cross-talk of protein post-translational modifications;Beltrao P.;01.01.2013;Molecular Systems Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84902031172&origin=inward;"Beltrao P.:23494578700;Bork P.:7103061421;Krogan N.J.:6603946841;Van Noort V.:6508125738"
2479;SCOPUS_ID:84879574177;2-s2.0-84879574177;The functional interactome landscape of the human histone deacetylase family;Joshi P.;01.01.2013;Molecular Systems Biology;9;unknown;https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879574177&origin=inward;"Joshi P.:57188729548;Greco T.M.:13411393400;Guise A.J.:37093061800;Luo Y.:55712643700;Yu F.:55207909200;Nesvizhskii A.I.:6701789895;Cristea I.M.:34975193700"
